chemical_name,toxid,toxprofiles_id,toxfaqs_faqid,toxprofiles_url,toxfaqs_url
Carbon Tetrachloride,35,196,195,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=196&tid=35,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=195&toxid=35
Cesium,107,578,576,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=578&tid=107,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=576&toxid=107
Chlordane,62,355,354,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=355&tid=62,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=354&toxid=62
Chlordecone,276,1190,1188,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1190&tid=276,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1188&toxid=276
Chlordecone,118,,642,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=642&toxid=118
Chlorfenvinphos,193,932,931,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=932&tid=193,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=931&toxid=193
Chlorinated Dibenzo-p-dioxins (CDDs),63,366,363,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=366&tid=63,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=363&toxid=63
Chlorine,36,1079,200,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1079&tid=36,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=200&toxid=36
Chlorine Dioxide & Chlorite,108,582,581,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=582&tid=108,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=581&toxid=108
Chlorobenzene,87,489,488,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=489&tid=87,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=488&toxid=87
Chlorodibenzofurans (CDFs),194,938,937,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=938&tid=194,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=937&toxid=194
Chloroethane,161,827,826,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=827&tid=161,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=826&toxid=161
Chloroform,16,53,52,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=53&tid=16,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=52&toxid=16
Chloromethane,109,587,586,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=587&tid=109,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=586&toxid=109
Chlorophenols,195,941,940,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=941&tid=195,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=940&toxid=195
Chlorpyrifos,88,495,494,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=495&tid=88,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=494&toxid=88
Chromium,17,62,61,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=62&tid=17,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=61&toxid=17
Cobalt,64,373,372,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=373&tid=64,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=372&toxid=64
Copper,37,206,205,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=206&tid=37,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=205&toxid=37
Creosote,18,66,65,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=66&tid=18,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=65&toxid=18
Cresols,196,946,945,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=946&tid=196,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=945&toxid=196
Crotonaldehyde,197,,948,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=948&toxid=197
Cyanide,19,72,71,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=72&tid=19,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=71&toxid=19
"DDT, DDE, DDD",20,81,80,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=81&tid=20,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=80&toxid=20
"DEET (N,N-diethyl-meta-toluamide)",201,1451,1035,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1451&tid=201,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1035&toxid=201
Di(2-ethylhexyl)phthalate (DEHP),65,684,377,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=684&tid=65,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=377&toxid=65
Di-n-butyl Phthalate,167,859,858,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=859&tid=167,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=858&toxid=167
Di-n-octylphthalate (DNOP),204,973,972,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=973&tid=204,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=972&toxid=204
Diazinon,90,512,506,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=512&tid=90,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=506&toxid=90
Diborane,202,,965,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=965&toxid=202
Dichlorobenzenes,126,704,703,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=704&tid=126,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=703&toxid=126
Dichloropropenes,163,836,835,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=836&tid=163,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=835&toxid=163
Dichlorvos,111,597,596,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=597&tid=111,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=596&toxid=111
Diethyl phthalate,112,603,602,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=603&tid=112,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=602&toxid=112
Diisopropyl Methylphosphonate (DIMP),203,969,968,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=969&tid=203,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=968&toxid=203
Dinitrocresols,218,1025,1024,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1025&tid=218,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1024&toxid=218
Dinitrophenols,132,729,728,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=729&tid=132,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=728&toxid=132
Dinitrotoluenes,165,847,846,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=847&tid=165,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=846&toxid=165
Disulfoton,205,978,977,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=978&tid=205,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=977&toxid=205
Endosulfan,113,609,608,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=609&tid=113,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=608&toxid=113
Endrin (Endrin aldehyde),114,617,616,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=617&tid=114,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=616&toxid=114
Ethion,206,983,982,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=983&tid=206,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=982&toxid=206
Ethylbenzene,66,383,382,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=383&tid=66,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=382&toxid=66
Ethylene Glycol,21,86,85,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=86&tid=21,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=85&toxid=21
Ethylene Oxide,133,734,733,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=734&tid=133,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=733&toxid=133
"Fluorides, Hydrogen Fluoride, and Fluorine",38,212,211,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=212&tid=38,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=211&toxid=38
Formaldehyde,39,220,219,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=220&tid=39,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=219&toxid=39
Fuel Oils / Kerosene,91,516,515,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=516&tid=91,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=515&toxid=91
"Gasoline, Automotive",83,468,467,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=468&tid=83,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=467&toxid=83
Glutaraldehyde,284,1467,1469,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1467&tid=284,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1469&toxid=284
Glyphosate,293,1488,1489,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1488&tid=293,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1489&toxid=293
Guthion,207,1037,987,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1037&tid=207,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=987&toxid=207
Heptachlor/Heptachlor Epoxide,135,746,744,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=746&tid=135,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=744&toxid=135
Hexachlorobenzene,115,627,626,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=627&tid=115,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=626&toxid=115
